id,lad_name,house_price,imd_score,income_score,employment_score,edu_score,health_score,crime_score,housing_barriers_score,living_envir_score,income_decile,employment_decile,edu_decile,health_decile,crime_decile,housing_barriers_decile,living_envir_decile
E07000087,Fareham,299714.2123,9.120712329,0.056410959,0.050794521,10.8520274,-0.818191781,-0.530547945,19.89249315,16.29934247,8.205479452,8.054794521,7.356164384,8.438356164,7.452054795,5.904109589,6.246575342
E07000088,Gosport,225565.4717,20.03656604,0.104830189,0.086830189,29.27,0.065943396,0.303754717,18.10333962,22.31169811,5.943396226,5.811320755,4.113207547,5.169811321,4.358490566,6.358490566,5.169811321
E07000089,Hart,425957.5893,5.682649123,0.042035088,0.036385965,6.565350877,-1.518684211,-0.652175439,19.65364912,8.541649123,9,9.122807018,8.421052632,9.789473684,7.719298246,5.964912281,8.350877193
E07000090,Havant,271180.2632,21.7630641,0.125551282,0.100705128,30.53397436,0.059294872,0.259512821,18.27057692,16.87366667,5.358974359,5.230769231,4.307692308,5.346153846,4.602564103,6.397435897,6.166666667
E07000091,New Forest,367350.9646,13.11331579,0.076403509,0.067754386,15.10418421,-0.61577193,-0.177149123,23.86051754,14.26329825,7.201754386,6.842105263,6.447368421,7.833333333,6.184210526,4.815789474,7.175438596
E07000092,Rushmoor,305201.3158,15.6627069,0.101948276,0.065810345,18.91524138,-0.128896552,-0.013672414,22.49867241,13.11668966,6.24137931,7.017241379,5.534482759,5.948275862,5.534482759,5.103448276,7.103448276
E07000093,Test Valley,345511.9014,11.59823944,0.065028169,0.054394366,13.38970423,-0.720267606,-0.478647887,24.64087324,16.03066197,7.816901408,7.788732394,7.042253521,8.084507042,7.126760563,4.732394366,6.774647887
E07000094,Winchester,460285.0515,9.671557143,0.058857143,0.047842857,9.044614286,-1.020271429,-0.536642857,23.83915714,17.16151429,8,8.2,8.128571429,8.8,7.442857143,4.828571429,6.457142857
E07000095,Broxbourne,378028.0804,17.6,0.104857143,0.075339286,24.958,-0.698982143,0.048875,30.46873214,14.10358929,5.785714286,6.357142857,4.232142857,8.160714286,5.267857143,2.857142857,6.803571429
E07000096,Dacorum,424332.0109,12.80554255,0.083904255,0.064021277,16.3348617,-0.750287234,-0.077808511,22.78623404,9.401712766,6.765957447,7.127659574,6.287234043,8.053191489,5.829787234,4.978723404,8.170212766
E07000098,Hertsmere,502518.9919,14.02164516,0.08933871,0.067387097,13.8336129,-0.675451613,0.003112903,26.17130645,13.02446774,6.516129032,6.806451613,6.612903226,7.790322581,5.548387097,3.887096774,6.983870968
E07000099,North Hertfordshire,373315.2439,11.82614634,0.079390244,0.064512195,13.12208537,-0.693195122,-0.35695122,21.75218293,12.8774878,7.024390244,7.170731707,6.963414634,7.987804878,6.865853659,5.37804878,7.292682927
